#
# $static-counts
#
#     opcode       count-unpredicated    count-predicated
#
   5 ADC                           16                0
   8 ADD                         7395                0
  11 ADDSD                          4                0
  12 ADDSS                         14                0
  15 ADD_LOCK                      14                0
  31 AND                         2937                0
  34 ANDNPS                         1                0
  35 ANDPD                         10                0
  36 ANDPS                          3                0
  37 AND_LOCK                      11                0
  63 BSF                            4                0
  64 BSR                            8                0
  65 BSWAP                         64                0
  66 BT                            34                0
  72 BTS_LOCK                       1                0
  75 CALL_NEAR                  11473                0
  77 CDQ                           15                0
  78 CDQE                         322                0
  81 CLD                            2                0
 109 CMP                        13418                0
 118 CMPXCHG                      235                0
 123 CMPXCHG_LOCK                 433                0
 126 CPUID                          8                0
 127 CQO                            6                0
 141 CVTSI2SD                       4                0
 142 CVTSI2SS                      23                0
 143 CVTSS2SD                       1                0
 150 CVTTSS2SI                      9                0
 152 CWDE                           1                0
 155 DEC                          308                0
 156 DEC_LOCK                     349                0
 157 DIV                           76                0
 160 DIVSD                          4                0
 161 DIVSS                          3                0
 178 FABS                           6                0
 179 FADD                           7                0
 183 FCHS                           6                0
 200 FDIV                           1                0
 201 FDIVP                          4                0
 203 FDIVRP                         1                0
 213 FILD                           8                0
 217 FISTP                          2                0
 221 FLD                           86                0
 222 FLD1                           5                0
 223 FLDCW                          4                0
 224 FLDENV                         3                0
 230 FLDZ                           8                0
 231 FMUL                          11                0
 232 FMULP                          3                0
 237 FNSTCW                         4                0
 238 FNSTENV                        2                0
 239 FNSTSW                         6                0
 252 FSTP                         119                0
 255 FSUBP                          1                0
 256 FSUBR                          1                0
 257 FSUBRP                         2                0
 260 FUCOMI                        15                0
 261 FUCOMIP                       16                0
 265 FXAM                           6                0
 266 FXCH                          28                0
 280 HLT                            5                0
 284 IDIV                          20                0
 285 IMUL                         296                0
 287 INC                           15                0
 290 INC_LOCK                       7                0
 310 JB                           444                0
 311 JBE                          955                0
 314 JL                           136                0
 315 JLE                          525                0
 316 JMP                        10519                0
 318 JNB                          792                0
 319 JNBE                        1576                0
 320 JNL                           73                0
 321 JNLE                         344                0
 322 JNO                            4                0
 324 JNS                          184                0
 325 JNZ                         8423                0
 326 JO                            34                0
 327 JP                            13                0
 329 JS                           622                0
 330 JZ                         11848                0
 385 LDMXCSR                        2                0
 388 LEA                        13258                0
 389 LEAVE                          4                0
 391 LFENCE                         3                0
 407 LSL                            1                0
 420 MFENCE                         7                0
 427 MOV                        72571                0
 428 MOVAPD                        22                0
 429 MOVAPS                       638                0
 431 MOVD                          71                0
 436 MOVDQA                       359                0
 437 MOVDQU                       318                0
 440 MOVHPS                        42                0
 444 MOVMSKPD                       5                0
 445 MOVMSKPS                       3                0
 446 MOVNTDQ                        8                0
 454 MOVQ                          67                0
 456 MOVSB                          2                0
 458 MOVSD_XMM                     59                0
 462 MOVSS                         23                0
 464 MOVSX                        507                0
 465 MOVSXD                      1124                0
